内容,评分
过年宅家日记1月30日 初六 晴向往蓝天白云自由美好生活的第七天欧洲旅行 明天上班了今天想开车遛一圈娃从家走到停车场碰见一位遛狗不带口罩的老人我想别靠太近我绕着走。不知道老人家是不是在家闷坏了冲过来笑着说你看小朋友口罩都歪了然后伸手就摸我儿子的脸。老人家们行行 全文,0.050494921
北京各企业2月10日上班 武汉市金银潭医院20名新型冠状病毒肺炎患者集体出院1月31日丨据湖北之声今天下午5点左右武汉市金银潭医院共有20名新型冠状病毒肺炎患者集体出院其中最大年龄64岁最小年龄15岁。这是疫情发生以来同时出院人数最多一次。截至目前武汉市金银潭医院累计出院确诊患 全文,0.007867439
初七好的我已经上班了而小眼哥哥 还在嗨 慕行之的微博视频 ,0.984290702
这时候公务员是最辛苦的 又开始自我臆测公务员不上班这个春节你怕是已经死了最爽的是公务员事业单位不上班还有工资,0.060299382
明天北京中央部委开始上班的日子。节前发送的信函文稿没有查到回复的下周会陆续再查询一遍尤其是最高检的。近期除了补充信函和合理的回复时间内的等待做不了什么事情即使把小命丢掉这疫情期间也不能掀起巨浪只能延迟后伺机而动。当然这也可以称为是又一次的借口。盼天下无冤,3.59E-05
前几日看见出租车上写着医务工作者、警务人员、社区工作人员免费乘车我每次也没说自己是医生还是自觉给钱觉得人家出租车司机也不容易现在出来跑车还是想多赚点钱的今天早上上班出租车上全是我们医院的大家都自觉给的钱下午来医院无意跟司机大哥聊了一下问他们有没有相应补助他说没得 全文,0.001257968
终于回来了。 今天晚上开始上班。明天去超市采购生活用品去。 ,0.074687072
很多人看视频说我觉得夏夏没问题啊。我后来想想因为我通常放出来的视频片段都是互动非常好的没有互动的通常觉得不够精彩怕看起来很闷剪辑掉了。而在日常里以前通常她都是这样无视我的。那天正好在等医生上班在车里换了尿布不肯穿裤子所以视频里没穿裤子哈。  全文,0.999916895
刷微博是赌气又无奈可是我又能做什么我都找不到口罩和防护服可以捐捐钱他们又不需要。我们普通人能做的是在年后好好恢复自己的正常生活是延后上班上学了但是力所能及的工作还是要做年前定的小目标一季度完成不了没办法想办法把计划调整一下争取全年依然能实现。只有各行各业在 全文,0.458859182
今天我要去冲浪司机来接我他说你在这里呆了很久了怎么还不回我说我特么咋回去航班被取消了感染人数越来越多现在还不能开工上班。他说那发工资吗我说发他笑嘻嘻地恭喜我这多好啊拿着工资在这里休假我说我是老板气氛一下子沉默了5分钟后「Brobe happy everyday」 ,0.246783018
今天又下雨了。下午吃了1个橙子、3个猕猴桃和一个香梨。下午4点多血站终于来电预约明天捐献血小板。台州日报今天恢复正常出版。延迟过一次假期后首个正式工作日对我来说昨天就已经上过一天班了。也是年后首个股市交易日今天居然跌了7多真是惨不忍睹啊。8点多才出门去上班骑共享单车 全文,0.002852907
过几天就要上班可没口罩快递也挡在小区外这可怎么出门单位发口罩不嘤嘤嘤 ,0.000293557
完了椒江的公共自行车也要停了而且就在两个小时以后生效。自行车一人一车根本就不存在聚集、传播病毒的问题连这个也要停我真是无语了。昨天上午骑车去血站途中我还在想这个问题没想到这么快就照进现实真是怕什么来什么。由于我下班肯定在12点以后所以上班来时就是疫情解除前最后一次 全文,0.014439922
手写加油接力今天我上班孩子与他爸一起制作的中国加油四颗星星的位置或许不精确这是四岁多的宝宝贴的。他说中国人都要加油我爱我滴祖国。🇨🇳 ,0.99999998
已经上班一周了其实在班上忙碌起来心情反而会好一点。不去想这些事情仿佛这个事情完全没有发生。我知道是自欺欺人可是有那么欺人的一刹那也挺好。为什么总有那么多底层的人跟着一起垂首顿足的哭泣和奉献是因为他们更了解苦难对贫苦的欺辱。😭😭😭😭😭😭 ,0.999987419
上班开会还不允许下属戴口罩的你是坏啊还是无知啊还是坏啊还是人品有问题啊 ,0.097459739
延迟复工工资发放新政策疫情结束前公司减发相应工资您能接受吗多省2月底前不开学 春节延长假期间上班先安排补休 澄泓研究君的微博投票 ,0.240053947
突然发现今天竟然已经是元宵节 了唉一点气氛也没有这年过的真憋屈春节延长假期间上班先安排补休 ,0.068497358
那些躲避隔离或者逃逸隔离的人我不知道他们是怎么想的。。这个又不是把你当罪犯是为你好早发现早治疗啊你跑什么出现咽拭子核酸检测三阴感染者王贺胜任湖北省委常委春节延长假期间上班先安排补休 ,0.765363052
中国消费者闭门不出全球零售商哀鸿遍野。。。春节延长假期间上班先安排补休李文亮医生被认定为工伤 ,0.752089193
元宵节 您认为2020年会有牛市吗春节延长假期间上班先安排补休 今日看盘 澄泓研究君的微博投票 ,0.992189755
广东规定2月10号才可以开工但是本镇倡议3月1号才开工一下又推迟了20天。本来以为是倡议而已后来加了规定提前复工要申请申请文件如图二。老公看完嗷地一声昏过去了还是在家上班吧。 ,3.26E-05
纸尿裤目前是这么个情况仓库和快递上班就能发目前说10号上班但也不知道到时候能不能顺利上反正下单就先排单。手头有货的这两天也在顺丰发货了价格还是原来的价格没变利润不利润的这时候也顾不上有的是年前就下单了不想让大家等太久。急着用的也可以去别的能快递的平台先买啊别 全文,7.19E-11
看到女主用 囊 我猜是潍坊的 往下一看 这个憨批男主还真的在潍坊上班,0.968508433
昨晚一直做梦梦见开始上班了各种慌乱然后现在不知道为啥又心慌慌。妈呀快过去吧 ,0.011910993
托尼什么时候才可以上班我头发长了 ,0.168185995
小区虽然封闭了但是目前进出没有太大影响今天我也懒得绕道干脆从封闭的路口钻了出来没想到随后却败在了交通出行上。晚上7点多上班一路走来居然都找不到一辆共享单车只看到一个女子推着我要的车。走啊走简直是望眼欲穿饥不择食就像沙漠里找水源一样。一直走到枫南路口才在中诚小区 全文,0.000463057
今天继续上班。 ,0.347826087
我艹你妈广铁集团你出来为什么她都有相关类似病症了还给她上班  可以追究一下批准其上班的相关人员的责任吗 广东抗击新型肺炎 莞惠城轨安检员确诊新冠肺炎急寻8趟车次同行乘客,0.060790361
今天上班 为大家准备了最特别的开工红包今天你开工了吗要做好防疫工作哦。2020年复工第一天努力工作和时间赛跑。抗击新型肺炎第一线 ,0.988177251
新冠病毒不是SARS 今天你开始正常回公司上班了吗1分钟改造呼吸阀口罩 红十字会总会赴武汉工作组 澄泓研究君的微博投票 ,0.723483112
2020年2月10日今天继续上班。台州市第二阶段复工日。上午10点多醒。上午还多少出了点太阳但感觉没有昨天那么强烈并且下午很快就转阴了。天气预报说今天晚上起又要开始下雨为此还特地换了一双鞋带了伞这雨一直要下到本周五然后短暂停一下又会接着下一直持续到下个星期。下午去便利 全文,0.469390465
最近跟 几乎吃遍了附近的餐厅好吃的点也挺多但依旧很想念国内的美食。在外面呆太久已经失去了捣赤自己的动力一周只有那么一天是人模人样这感觉跟上班时只有周末会化妆一样。最近想家的念头越来越强烈但也在努力调整心态享受当下。 ,0.999992334
从过年到如今经常很压抑。除了上班的日子白天忙碌晚上可以很快入睡彻夜不醒其余日子总会焦虑到半夜甚至有次凌晨四点才睡。可是昨天白天一直看方舱医院里面的轻症患者们广场舞太极拳广播体操和看书。也看到他们伙食不错还发书看。这些无比乐观坚强的中国人啊还有各省帮扶一市。心里好 全文,0.999993766
最近很多人体会到自由工作的痛苦了你不上班领导默认你是24小时随时在岗随时工作你不上班家人默认你是24小时随时有闲随时家务 ,0.62888695
北京节后复工第一天2月10日是2020年元宵节后上班第一天。京通高速路车流明显增多。在地铁八通线戴着口罩的乘客明显比假期增多。北京节后复工第一天2月10日是2020年元宵节后上班第一天。京通高速路车流明显增多。在地铁八通线戴着口罩的乘客明显比假期增多。网页链接 ,6.98E-08
现在管控是越来越严了今天下班回来小区工作人员把我的出入通行证收了不过明天上班应该还是可以出去的。管控的越来越严还是能说明一些问题的。大家最近尽量不要出门实在需要出门的做好防控如戴口罩普通的医用护理口罩最好戴双层尽量避开人群遇到熟人远远点个头就行了别去握手啊聊天啥 全文,0.827622765
晚上夜半三更睡不着白天帐下的儿郎闹吵吵比正常上班还要累十倍 ,0.00160709
万万没想到这个愿望成真了待久了 去上班都像放风 ,0.22363985
晚上上班再次带了两个橙子到单位。还有最后两个就要吃完了。水果还有几个苹果和两个柚子。疫情结束前应该不会再买什么水果了。 ,0.720955258
万万没想到这个愿望成真了不用上班一直嗨可爽 泰国 ,0.071731476
明天要去公司上班了一个小时的班车瑟瑟发抖 ,0.52722282
最近只要下午不用去上班吃完午饭就会在家躺尸一直躺到天黑什么都不想干不想看书不想看电影可我今年还有好多事情要做的现在趁着疫情比较闲应该行动起来的后面又怕没什么时间可我行动不起来这种懒癌拖延症的估计要死翘翘了。 ,0.001124443
哈哈哈哈等我回去上班给你们看看我办公室一个同事更像,0.915070657
车灯昨天晚上上班时经过星云路永安亭综合市场门口看到停放在人行道上的一辆街兔共享电单车前灯一直亮着凌晨1点半下班后再次经过还是亮着。今天晚上再次经过那辆车居然还是一直亮着也就是说这辆车自带的亮量至少支撑前灯亮了24个小时之久。 ,0.001093004
下雨天气预报明明说今天雨停白天也的确没下不料到下午4点多又开始下起来雨势还不算小一度哗哗地。好在到7点半左右出门上班时已经很小了不需要打伞了。 ,9.43E-05
好友座标北京刚刚说下周一开始就正常上班了当真 ,0.904988936
买信用卡的都开始上班了么 ,0.095356256
心情忽地莫名美好本来暑假就不长还要周末补课然后心情down底滴问了一圈都是周末要上班补现在滴假期忽地心情就美妙无比了嘿嘿大家一起周末上班谁也别想跑 ,0.00341716
还有一个问题想了解一下2月如果不上班企业还没复工的话私人企业都怎么发放工资。这道题公务员和国企就别填了。 小短腿夏酱的微博投票 ,0.002828198
单位发布通知今天开始恢复打卡签到制度打卡时间我们还是按照以前制度实行即晚上7点至8点上班下班晚上9点30分以后。我于2月2日返回台州以来半个多月除7日休息一天外实际上班14天。2日、3日、4日三天因为误以为单位对考勤机进行了设置无法打卡后来才知道是因为戴着口罩机器无法识别而未 全文,8.23E-08
上班途中继续完成QQ运动任务继1日和昨天之后第三次本月还有五次。 ,0.059281646
台州公共自行车已经于15日0时全面恢复运营今天晚上上班时首次骑行白云街道社区医疗服务中心站点借车报社东门斜对面的台州市税务局站点还车。 ,1.43E-05
昨天晚上在临海的同事提前结束隔离但是因为现在临海到椒江的客运班车还没有恢复暂时来不了椒江什么时候能来上班还不知道要到周四再看。 ,0.937362476
2019年2月18日继续上班。下午1点40几分才醒居然比昨天醒来得还要晚不过昨天晚上睡得也更晚5点多才睡好不容易睡着后没多久又惊醒了爬起来一看才5点半左右到6点多才睡此时天已经亮了。自然今天的积分猜股市活动又没能参加。下午3点多去十足便利店买了一些吃的两个烧卖、两根烤肠、一 全文,8.13E-09
终于复工上班了可是这会开的真够了。。钟南山回应新冠肺炎药物使用疫情结束后出街的我们 ,0.661603395
理发店晚上出门上班发现对面那家理发店居然恢复营业了里面有好几个女性顾客除个别行业以外目前商店还没有恢复营业小区还没有完全解除管控所以显得很突兀。椒江、黄岩等地昨天才发布通告允许理发店等和群众生活密切相关的十小行业恢复营业不过条件非常苛刻比如不允许进行烫发 全文,0.008306801
送水工还没上班下楼自助买水还挺方便小桶装更健康 ,0.784793362
上班还能数着日子盼双休呢带娃连双休都没有啥时候是个头啊。 ,0.321798846
我孕前95生产的时候120生产后很快回100后来哺乳期胡吃海喝又胖到105我孕前104产前148现在孩子5个月我150。。。下周一上班我很难想象到时候单位人看到我的眼神,0.381225667
今天又要开始上班了。 台州 ,0.324397291
最近每次有人问我快递问题我就去问仓库快帮我查查人家急着要纸尿裤接不上了要上班了要换奶瓶了快仓库不说话并给我发了一个视频。 小短腿夏酱的微博视频 ,0.007633882
上班打包了一天没了半条命下班陪娃玩到现在没了另外半条命现在剩一口气准备发个夏夏的视频。 ,0.016805706
全国确诊新型肺炎病例 疫情下的上班路 深圳·天安云谷 ,0.794623282
哈哈哈哈哈我本来想等托尼上班现在觉得还是等一会哈哈哈哈哈有道理那我晚几天理发吧让理发师先适应适应,0.296296358
韩专家回应精神科几乎全员确诊   102名病人共99名确诊韩专家回应某精神科几乎全员确诊     据说该医院精神科为防止病人自杀常年紧闭门窗这不就相当于mini版钻石公主号嘛     昨天和青岛朋友打电话说韩国失控的疫情搞得青岛那边很紧张😓有些金融机构又开始灵活上班 全文,0.985601067
老爸说养了快三十年终于派上用场了真真是奴隶主我就是饱受压迫无力反抗小可怜天天晚上九点多发布任务写材料 要求早上给他理由是反正我也不睡我太想上班了 好歹单位一般任务要求下班前返回 ,0.944560383
上班啊 ,0.347826087
可以粗去走走了等着上班那就有的忙喽我现在甚有点怀念去教会滴路桑那段绿色风光咧我很喜欢教堂建在一片绿中抑或路上有点风景如果你住的地方有个小绿景是最美不过滴事儿了 ,0.994090413
2020年3月1日3月份第一天又是一个新的月份。春暖花开春回大地鸟语花香不过也同样是春雨绵绵春寒料峭乍暖还寒。我的双休日结束今天开始上班。下午1点05分才醒凌晨4点多才睡居然睡了9个小时之久真是晚上睡不着白天睡不醒这样的状态到何时才是个头今天上午下过一场雨不过 全文,0.000548561
双休日结束今天开始上班。可能会下小雨。再度失眠。 台州 ,0.642069432
天是蓝的可惜迟到不能走路上班只能打车三月上班第一天 ,0.610952582
我跟爸爸上班了夏夏跟阿姨下楼玩树叶堆 小短腿夏酱的微博视频 ,0.899791444
不是2006年我才大学毕业一年正在南方报业集团上班。,0.252227196
明天要做的事情早起、去单位食堂吃午饭、去台州晚报编辑部取需要校对的书稿、去台州城市网领取抽中的口罩、去欧尚超市买零食和水果、洗衣服收进衣服、还中信银行信用卡账单和花呗、整理书、参加阅读马拉松活动、上班、下班后把放在办公室的一个苹果带回。 ,0.318419273
昨天老公说我发现我戒烟成功了我一想真的是大半年没见他抽烟了。老公我发现真正的戒烟不是你控制自己不抽烟而是你想都不会想了。我哇那要是人家递烟给你呢老公没有人递烟给我我没有那种社交环境我一想也是除了上班工作就是下班带娃没有一堆老爷们扎堆喝酒聊天 全文,0.354033045
麻辣香锅真好吃。明天又要开始上班了。今天没有下雨真好。 台州 ,0.272639287
晚上来上班发现编辑大楼东侧的电梯又坏了只有一部可以使用。 ,0.076802165
2020年3月9日继续上班。上午9点58分醒来比昨天要晚一个多小时其实是睡得较晚3点18分入睡睡了6个半小时多和昨天其实也差不多。昨天下了一天的小雨淅淅沥沥还比较冷。奇葩的是今天不但停了还出了太阳气温也迅速回升甚至还有点闷热。最近一段时间都是这样晴雨相间、忽冷忽热 全文,7.27E-09
陪爸爸来上班顺便撸猫🐈 ,0.886562235
昨天今天晴好了两天后最早从今天晚上开始又会下雨至少持续两天。不过怕麻烦晚上出门上班并没有带雨伞万一下班时真的下雨就去文体活动室借一把好了。 ,0.106358596
找到两张我还在上班的时候夏总去探班的照片 ,0.516679534
小孩子们从来都是最享受当下洗手的时候认认真真的洗打出泡泡欢喜的玩儿一玩儿嘻嘻哈哈刷牙的杯子掉在水池里漂起来真好玩开心的笑走路的时候看到地上的小虫子蹲下来数一数它有几只脚大人们总是催促快些再快些饭要凉了上学要迟到了刷牙的时候想吃饭吃饭的时候想上班上班 全文,0.897851982
感觉这玩意儿对上班的真挺方便,0.458871854
双休日结束今天开始上班。晚上7点半来到单位编辑大楼内东侧电梯居然还没有修好。 ,0.001529186
终于上班了 天津 ,0.542536286
上班赚钱,0.27542876
昨天下午出门本来要去吃饭然后上班我跟夏酱爸说没什么衣服穿夏酱爸马上掉头去商场带我去买衣服。我说我们怎么这么幸福啊可以做自己想做的事情有自己的时间。夏酱爸说幸福的秘密是自由自由的秘密是勇气。这两句话细品说得太好了太贴切了如果我没有自由我不可能像现在一 全文,1
特地起早陪夏夏玩了一会才跟夏酱爸一起来公司开会。前天更搞笑下午出门上班路上一看天气很好夏酱爸说我给你两个小时你把工作做完回家带娃去公园 ,0.913540458
看国内疫情基本告捷看来摘口罩指日可待现在仅需严防国外输入了。我没有觉得国内的措施有什么没有人权相反除了集市关闭超市都是正常营业啊药店也是。我们一直出入自由包括公园也是开放的。已经上班一个多月了的确订单少了许多可是坚信后面能迎头赶上。春天已经准时的到来与瘟疫有 全文,0.99968701
⚫昨天阴了一天今天再次放晴全天不冷不热。⚫拆开昨天收到的充电宝已经充满电了100。⚫下午通过微信向血站预约21日捐献血小板不知道到时候是否需要。⚫下午收到快递15日晚上在某宝上买的一本咬文嚼字杂志2019年简装合订本晚上上班时带到办公室拆开看为此还特地把一把小美工刀 全文,0.000200796
早上爸爸起床上班被夏夏看见了就哭着不让爸爸走去追的时候自己打开门还被门刮到脚。我听到她哭我就起来了我说妈妈陪你爸爸上班了。夏夏看着我说小考年～小考年～我想了一下原来是说自己小可怜。然后打雷了她冲到我怀里雷声停了她又自我安慰说没事的。我帮她 全文,0.999995635
不上班的日子许昌这座网红桥下休闲的人玩得很开心preoriginal 春光明媚来到东区清潩河南段小火车道边玩。这里已经聚集了很多人。没有班上的日子许昌人在这玩得好开心。网页链接 ,0.999205398
终于等到上班了 ,0.78670957
现在还没有上班的我今年的零食靠你了拜托 •̥́ ˍ •̀ू ,0.249561704
奶舅被迫营业 先做好陌生环境和陌生人的社交规则和技巧再送幼儿园目前我的计划是八个月内岁妈妈主要照顾八个月后得上班了早上带去姥姥家下午姥姥送去奶奶家晚上再接回自己家两岁以后是不是可以上幼儿园了我是一岁八个月开始上幼儿园的以自己为参考好像有点奇怪,0.99999425
上班了 ,0.347826087
对于周末仍然需要上班的人们我们的口号是什么身在曹营心在汉你摸鱼🦑来我摸鱼🦑。口号要响亮身体要诚实。 ,0.999721147
●0点刚过继续在台州市气象局微信公众号上参加他们主办的世界气象日有奖知识竞答活动五题全对居然又抽中了一个红包拆开还是068元。一个活动两次中奖堪称史无前例绝无仅有。●7点半第一次醒有点困继续睡10点多再醒凌晨近3点睡睡差不多8个小时。●双休日第一天。明天开始上班。 全文,0.001180002
转你们坐稳了再看。英国今日公布的措施帮助英国雇主解决封闭期间无法上班的人员的工资的80上限2500英镑每人每个月不仅全民医疗新冠免费所有在英国的游客甚至无签证人士也同样免费今日开始英国境内所有酒吧餐厅咖啡厅停止营业下一步重点将确保所有医院配备有足够的防护装 全文,0.999990789
今天晚上来上班大脑短路居然忘记打卡来得本来就有点晚了等突然想起来时已经7点58分了赶紧飞奔下楼还好走楼梯到考勤机前西边一台是7点59分02秒打完第一台接着打第二台是59分35秒真是有惊无险。 ,1.01E-06
双休日结束今天开始上班。 ,0.313822058
上班第三年第三盆绿植。兰州话管我这种人叫七娃子妈养雀儿 ,0.055497
早上我抱着她跟她说对不起妈妈要去上班不能陪你玩了。夏夏没～没关西～啊啊啊我心都要融化了夏夏真的熟练掌握各种礼貌用语。 ,0.921732672
相比开学我更讨厌群居生活一个人真的好毕竟家里一直有人叨叨叨还不如在宿舍或者上班也行 ,0.275780063
想到下周要开始上班了我竟然有那么些许的不情愿。 ,0.022130698
啊影响你老公还是有了娃以后孩子他爸上班途中听书娃睡了在客厅看书不知道能不能有点潜移默化的影响,0.137709347
夏酱新衣打卡 Day 1今天爸爸带彪彪去看医生宠物医院皮肤科VIP妈妈带夏夏上班💼 ,0.986154278
2020年3月29日双休日结束今天开始上班。转眼间就是3月底了清明小长假都要到来了。上午10点多醒主要是昨天睡得晚到凌晨3点45分才睡。看新闻才知道前天是什么世界戏剧日昨天是地球一小时活动日后者是知道的只是忘记了前者倒是第一次听说真是什么事物都可以拿来设立一个节日。午饭 全文,0.005793109
昨天带着夏夏一起上班然后我跟同事在忙她就在旁边自己把玩具都玩了一遍最后我还跟同事在讲话她就走过来低着头小小声说不开心☹️我听到了又有点心疼又有点欢喜她还知道不开心了呀就赶紧放下工作去陪她玩沙子了。然后还要跟她说不开心是因为妈妈没有陪你对不对下次你要 全文,0.991505193
我的童装店今年有两个前全职宝妈来帮忙了但是目前娃都还没开学所以今天上班的情况是这样的。本来说好九点大家来上班我七点多就醒了在家跟夏夏多玩了一个小时舍不得走十点才到。宝妈二号家里没人带娃只能带着上班然后带着娃不想挤地铁高峰毕竟还是有风险错峰出行十点半到。宝妈 全文,0.679047912
奶舅被迫营业27如何理解有效陪伴很多人会特别强调有效陪伴我个人的看法是有效陪伴的前提是有富余的精力、体力才行。很多时候上班族家长们忙了一天回到家已经精疲力竭了再要求他们必须要怎么做就很没必要了不能强人所难。因为大人精力、体力不好的时候很容易出问题比如情绪 全文,1
下午上班前突然很冲动想去吃一碗辣辣的南霞牛肉粉说去就去了。牛肉还是嫩嫩的很好吃但是我不喜欢老板娘打量我的眼神并且认出了我的工作所在地并且确定我的工作并且确定我这个时间是否要上班到吃晚饭的时候也不饿潦草地吃了碗稀饭。不喜欢这次吃面的经历下次不吃了。 ,0.282801098
总结一下昨天周一上班的第一天我们三位妈妈妈妈一号来了一上午中午12点回家喂娃吃饭哄娃睡觉了。妈妈二号带娃上班为避开地铁高峰十点半上班四点半下班。妈妈三号我本人十点上班下午把娃带来工作室一半沟通一半陪玩发现毫无工作效率所以我每天都在纠结是把娃带去 全文,0.925176188
上班的第一天💼失败早上八点二十分起床。摸两把猫猫～今天也是元气满满的一天八点三十五分出门。由于太久没乘地铁身份信息失效支付宝在这个时候系统错误在闸机口等了二十分钟差点迟到上车了🚌💨九点二五分最后五分钟终于打上卡准备买个早餐去公司 全文,0.000695581
